source_id,title_zh,edition_stated,reference_copy,approximate_date,upstream_format,upstream_encoding,witness_status
SHSRC0001,傷寒兼證析義,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0002,中寒論辯證廣注,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0003,仲景傷寒補亡論,not_stated_in_source,not_stated_in_source,1181,"plain-text .txt x27, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0004,傷寒九十論,not_stated_in_source,not_stated_in_source,960 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0005,傷寒來蘇集,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x6, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0006,傷寒六書,not_stated_in_source,not_stated_in_source,1368 1644,"plain-text .txt x11, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0007,傷寒大白,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x8, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0008,傷寒審證表,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0009,傷寒尋源,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0010,傷寒心要,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0011,傷寒心鏡別集,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0012,傷寒恆論,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x21, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0013,傷寒懸解,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0014,傷寒括要,not_stated_in_source,not_stated_in_source,1368 1644,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0015,傷寒指掌,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x8, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0016,傷寒捷訣,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0017,傷寒明理論,not_stated_in_source,not_stated_in_source,1142,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0018,傷寒明理論,not_stated_in_source,not_stated_in_source,1142,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0019,傷寒標本心法類萃,not_stated_in_source,not_stated_in_source,1115 1234,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
