source_id,title_zh,title_translit,alternative_title,author,dynasty,dynasty_raw,approximate_date,edition,n_files,characters,language,script,work_type,collection,evidence_layer,witness_status,notes
SHSRC0001,傷寒兼證析義,Shang Han Jian Zheng Xi Yi,not_stated_in_source,張倬,Qing,清,not_stated_in_source,not_stated_in_source,1,70608,lzh,Hant,not_stated_in_source,jingui,P,single_copy,
SHSRC0002,中寒論辯證廣注,Zhong Han Lun Bian Zheng Guang Zhu,not_stated_in_source,丹波元胤,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,1,54967,lzh,Hant,commentary,shanghan,P,single_copy,
SHSRC0003,仲景傷寒補亡論,Zhong Jing Shang Han Bu Wang Lun,not_stated_in_source,郭雍,Song,宋,1181,not_stated_in_source,27,132202,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0004,傷寒九十論,Shang Han Jiu Shi Lun,not_stated_in_source,許叔微,Song,宋,960 1279,not_stated_in_source,1,25380,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0005,傷寒來蘇集,Shang Han Lai Su Ji,not_stated_in_source,柯琴,Qing,清,not_stated_in_source,not_stated_in_source,6,109109,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0006,傷寒六書,Shang Han Liu Shu,not_stated_in_source,陶華,Ming,明,1368 1644,not_stated_in_source,11,102775,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0007,傷寒大白,Shang Han Da Bai,not_stated_in_source,高世栻,Qing,清,1644 1911,not_stated_in_source,8,123908,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0008,傷寒審證表,Shang Han Shen Zheng Biao,not_stated_in_source,not_stated_in_source,Qing,清,1644 1911,not_stated_in_source,1,20060,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0009,傷寒尋源,Shang Han Xun Yuan,not_stated_in_source,呂震名,Qing,清,1644 1911,not_stated_in_source,1,84466,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0010,傷寒心要,Shang Han Xin Yao,not_stated_in_source,劉完素,Jin (1115-1234),金,not_stated_in_source,not_stated_in_source,1,4777,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,second digitised copy of the same title in this corpus
SHSRC0011,傷寒心鏡別集,Shang Han Xin Jing Bie Ji,not_stated_in_source,張從正,Jin (1115-1234),金,not_stated_in_source,not_stated_in_source,1,1401,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0012,傷寒恆論,Shang Han Heng Lun,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,21,170524,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0013,傷寒懸解,Shang Han Xuan Jie,not_stated_in_source,黃元御,Qing,清,1644 1911,not_stated_in_source,1,78214,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0014,傷寒括要,Shang Han Kuo Yao,not_stated_in_source,李中梓,Ming,明,1368 1644,not_stated_in_source,1,63959,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0015,傷寒指掌,Shang Han Zhi Zhang,not_stated_in_source,吳坤安,Qing,清,1644 1911,not_stated_in_source,8,127164,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0016,傷寒捷訣,Shang Han Jie Jue,not_stated_in_source,嚴則庵 裘慶元,Qing,清,1644 1911,not_stated_in_source,1,21308,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0017,傷寒明理論,Shang Han Ming Li Lun,not_stated_in_source,成無己,Song,宋,1142,not_stated_in_source,1,41405,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,
SHSRC0018,傷寒明理論,Shang Han Ming Li Lun,not_stated_in_source,成無己,Jin (1115-1234),金,1142,not_stated_in_source,1,41586,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0019,傷寒標本心法類萃,Shang Han Biao Ben Xin Fa Lei Cui,not_stated_in_source,劉完素,Jin (1115-1234),金,1115 1234,not_stated_in_source,1,16317,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,
SHSRC0020,傷寒標本心法類萃,Shang Han Biao Ben Xin Fa Lei Cui,not_stated_in_source,劉完素,Jin (1115-1234),金,not_stated_in_source,not_stated_in_source,1,14562,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0021,傷寒法祖,Shang Han Fa Zu,not_stated_in_source,任越庵,Song,宋,960 1279,not_stated_in_source,1,41355,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0022,傷寒溯源集,Shang Han Su Yuan Ji,not_stated_in_source,錢潢,Qing,清,1644 1911,not_stated_in_source,16,255457,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0023,傷寒發微論,Shang Han Fa Wei Lun,not_stated_in_source,許叔微,Song,宋,960 1279,not_stated_in_source,1,9842,lzh,Hant,commentary,shanghan,P,single_copy,
SHSRC0024,傷寒百證歌,Shang Han Bai Zheng Ge,not_stated_in_source,許叔微,Song,宋,960 1279,not_stated_in_source,1,37178,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0025,傷寒直格,Shang Han Zhi Ge,not_stated_in_source,not_stated_in_source,Jin (1115-1234),金,1127 1279,not_stated_in_source,1,38077,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,
SHSRC0026,傷寒直格,Shang Han Zhi Ge,not_stated_in_source,劉完素,Jin (1115-1234),金,not_stated_in_source,not_stated_in_source,1,37234,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0027,傷寒總病論,Shang Han Zong Bing Lun,not_stated_in_source,龐安石,Song,宋,1100,not_stated_in_source,1,72945,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,
SHSRC0028,傷寒總病論,Shang Han Zong Bing Lun,not_stated_in_source,龐安石,Song,宋,not_stated_in_source,not_stated_in_source,1,71664,lzh,Hant,not_stated_in_source,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
