clause_id,source_id,book_title,canonical_clause_no,text_type,chapter,six_channel,original_text,normalized_text,formula_names,check_source_attribution,check_clause_number,check_textual_boundary,check_original_text,check_chapter,check_formula_reference,check_source_position,review_status,corrected_field,original_value,corrected_value,reviewer_id,review_date,reason,notes
SHL_SONGBEN_0001,SHSRC0033,傷寒論（宋本）,1.0,original_clause,辨太陽病脈證並治上,太陽病,太陽之為病，脈浮，頭項強痛而惡寒。,太陽之為病，脈浮，頭項強痛而惡寒。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0002,SHSRC0033,傷寒論（宋本）,2.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，發熱，汗出，惡風，脈緩者，名為中風。,太陽病，發熱，汗出，惡風，脈緩者，名為中風。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0003,SHSRC0033,傷寒論（宋本）,3.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0004,SHSRC0033,傷寒論（宋本）,4.0,original_clause,辨太陽病脈證並治上,太陽病,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0005,SHSRC0033,傷寒論（宋本）,5.0,original_clause,辨太陽病脈證並治上,太陽病,傷寒二三日，陽明、少陽證不見者，為不傳也。,傷寒二三日，陽明、少陽證不見者，為不傳也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0006,SHSRC0033,傷寒論（宋本）,6.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，發熱而渴，不惡寒者，為溫病。若發汗已，身灼熱者，名風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲，若被火者，微發黃色，劇則如驚癇，時瘈瘲，若火熏之，一逆尚引日，再逆促命期。,太陽病，發熱而渴，不惡寒者，為溫病。若發汗已，身灼熱者，名風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲，若被火者，微發黃色，劇則如驚癇，時瘈瘲，若火熏之，一逆尚引日，再逆促命期。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0007,SHSRC0033,傷寒論（宋本）,7.0,original_clause,辨太陽病脈證並治上,太陽病,病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽，七日愈；發於陰，六日愈。以陽數七，陰數六故也。,病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽，七日愈；發於陰，六日愈。以陽數七，陰數六故也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0008,SHSRC0033,傷寒論（宋本）,8.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，頭痛至七日以上自愈者，以行其經盡故也。若欲作再經者，針足陽明，使經不傳則愈。,太陽病，頭痛至七日以上自愈者，以行其經盡故也。若欲作再經者，針足陽明，使經不傳則愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0009,SHSRC0033,傷寒論（宋本）,9.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，欲解時，從巳至未上。,太陽病，欲解時，從巳至未上。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0010,SHSRC0033,傷寒論（宋本）,10.0,original_clause,辨太陽病脈證並治上,太陽病,風家，表解而不了了者，十二日愈。,風家，表解而不了了者，十二日愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0011,SHSRC0033,傷寒論（宋本）,11.0,original_clause,辨太陽病脈證並治上,太陽病,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,病人身大熱，反欲得衣者，熱在皮膚，寒在骨髓也；身大寒，反不欲近衣者，寒在皮膚，熱在骨髓也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0012,SHSRC0033,傷寒論（宋本）,12.0,original_clause,辨太陽病脈證並治上,太陽病,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出。嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0013,SHSRC0033,傷寒論（宋本）,13.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,太陽病，頭痛，發熱，汗出，惡風，桂枝湯主之。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0014,SHSRC0033,傷寒論（宋本）,14.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,太陽病，項背強几几，反汗出惡風者，桂枝加葛根湯主之。,['桂枝加葛根湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0015,SHSRC0033,傷寒論（宋本）,15.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,太陽病，下之後，其氣上衝者，可與桂枝湯，方用前法；若不上衝者，不得與之。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0016,SHSRC0033,傷寒論（宋本）,16.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。常須識此，勿令誤也。,太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。桂枝本為解肌，若其人脈浮緊，發熱汗不出者，不可與之也。常須識此，勿令誤也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0017,SHSRC0033,傷寒論（宋本）,17.0,original_clause,辨太陽病脈證並治上,太陽病,若酒客病，不可與桂枝湯，得之則嘔，以酒客不喜甘故也。,若酒客病，不可與桂枝湯，得之則嘔，以酒客不喜甘故也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0018,SHSRC0033,傷寒論（宋本）,18.0,original_clause,辨太陽病脈證並治上,太陽病,喘家作，桂枝湯加厚朴、杏子佳。,喘家作，桂枝湯加厚朴、杏子佳。,['桂枝湯'],,,,,,,,,,,,,,,
