relation_id,source_node_id,source_node_type,target_node_id,target_node_type,relation_type,description,target_citation,check_source_node,check_target_node,check_relation_type,check_evidence_source,review_status,corrected_field,original_value,corrected_value,reviewer_id,review_date,reason,notes
REL_00001,SHL_SONGBEN_0001,clause,SHL_SONGBEN_0002,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00002,SHL_SONGBEN_0002,clause,SHL_SONGBEN_0003,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00003,SHL_SONGBEN_0003,clause,SHL_SONGBEN_0004,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00004,SHL_SONGBEN_0004,clause,SHL_SONGBEN_0005,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00005,SHL_SONGBEN_0005,clause,SHL_SONGBEN_0006,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00006,SHL_SONGBEN_0006,clause,SHL_SONGBEN_0007,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00007,SHL_SONGBEN_0007,clause,SHL_SONGBEN_0008,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00008,SHL_SONGBEN_0008,clause,SHL_SONGBEN_0009,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00009,SHL_SONGBEN_0009,clause,SHL_SONGBEN_0010,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00010,SHL_SONGBEN_0010,clause,SHL_SONGBEN_0011,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00011,SHL_SONGBEN_0011,clause,SHL_SONGBEN_0012,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00012,SHL_SONGBEN_0012,clause,SHL_SONGBEN_0013,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00013,SHL_SONGBEN_0013,clause,SHL_SONGBEN_0014,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00014,SHL_SONGBEN_0014,clause,SHL_SONGBEN_0015,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00015,SHL_SONGBEN_0015,clause,SHL_SONGBEN_0016,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00016,SHL_SONGBEN_0016,clause,SHL_SONGBEN_0017,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00017,SHL_SONGBEN_0017,clause,SHL_SONGBEN_0018,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00018,SHL_SONGBEN_0018,clause,SHL_SONGBEN_0019,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00019,SHL_SONGBEN_0019,clause,SHL_SONGBEN_0020,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00020,SHL_SONGBEN_0020,clause,SHL_SONGBEN_0021,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00021,SHL_SONGBEN_0021,clause,SHL_SONGBEN_0022,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00022,SHL_SONGBEN_0022,clause,SHL_SONGBEN_0023,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00023,SHL_SONGBEN_0023,clause,SHL_SONGBEN_0024,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00024,SHL_SONGBEN_0024,clause,SHL_SONGBEN_0025,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00025,SHL_SONGBEN_0025,clause,SHL_SONGBEN_0026,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00026,SHL_SONGBEN_0026,clause,SHL_SONGBEN_0027,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00027,SHL_SONGBEN_0027,clause,SHL_SONGBEN_0028,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00028,SHL_SONGBEN_0028,clause,SHL_SONGBEN_0029,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00029,SHL_SONGBEN_0029,clause,SHL_SONGBEN_0030,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00030,SHL_SONGBEN_0031,clause,SHL_SONGBEN_0032,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00031,SHL_SONGBEN_0032,clause,SHL_SONGBEN_0033,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00032,SHL_SONGBEN_0033,clause,SHL_SONGBEN_0034,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00033,SHL_SONGBEN_0034,clause,SHL_SONGBEN_0035,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00034,SHL_SONGBEN_0035,clause,SHL_SONGBEN_0036,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00035,SHL_SONGBEN_0036,clause,SHL_SONGBEN_0037,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
